time,TARGET_DISTANCE,AFFORDANCE,MEMORY,RANDOM,SHORT_TERM_MEMORY,WORLD_MODEL
0.0,0,0,0,0,0,0
0.01,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.03,0,1,0,0,0,0
0.04,0,2,0,0,0,0
0.05,0,3,0,0,0,0
0.06,0,3,0,0,0,0
0.07,0,3,0,0,0,0
0.08,0,3,0,0,0,0
0.09,0,4,0,0,0,0
0.1,0,5,0,0,0,0
0.11,0,6,0,0,0,0
0.12,0,6,0,0,0,0
0.13,0,6,0,0,0,0
0.14,0,6,0,0,0,0
0.15,0,6,0,0,0,0
0.16,0,7,0,0,0,0
0.17,0,8,0,0,0,0
0.18,0,8,0,0,0,0
0.19,0,8,0,0,0,0
0.2,0,8,0,0,0,0
0.21,0,8,0,0,0,0
0.22,0,8,0,0,0,0
0.23,0,8,0,0,0,0
0.24,0,8,0,0,0,0
0.25,0,8,0,0,0,0
0.26,0,8,0,0,0,0
0.27,0,8,0,0,0,0
0.28,0,8,0,0,0,0
0.29,0,8,0,0,0,0
0.3,0,8,0,0,0,0
0.31,0,8,0,0,0,0
0.32,0,8,0,0,0,0
0.33,0,8,0,0,0,0
0.34,0,8,0,0,0,0
0.35,0,8,0,0,0,0
0.36,0,8,0,0,0,0
0.37,0,8,0,0,0,0
0.38,0,8,0,0,0,0
0.39,0,8,0,0,0,0
0.4,0,8,0,0,0,0
0.41,0,8,0,0,0,0
0.42,0,8,0,0,0,0
0.43,0,8,0,0,0,0
0.44,0,9,0,0,0,0
0.45,0,10,0,0,0,0
0.46,0,10,0,0,0,0
0.47,0,10,0,0,0,0
0.48,0,11,0,0,0,0
0.49,0,12,0,0,0,0
0.5,0,13,0,0,0,0
0.51,0,13,0,0,0,0
0.52,0,14,0,0,0,0
0.53,0,14,0,0,0,0
0.54,0,15,0,0,0,0
0.55,0,15,0,0,0,0
0.56,0,16,0,0,0,0
0.57,0,16,0,0,0,0
0.58,0,16,0,0,0,0
0.59,0,16,0,0,0,0
0.6,0,16,0,0,0,0
0.61,0,16,0,1,0,0
0.62,0,17,0,1,0,0
0.63,0,17,0,2,0,0
0.64,0,18,0,2,0,0
0.65,0,19,0,2,0,0
0.66,0,20,0,2,0,0
0.67,0,21,0,2,0,0
0.68,0,21,0,2,0,0
0.69,0,21,0,2,0,0
0.7,0,22,0,2,0,0
0.71,0,23,0,2,0,0
0.72,0,23,0,2,0,0
0.73,0,23,0,2,0,0
0.74,0,23,0,2,0,0
0.75,0,24,0,3,0,0
0.76,0,24,0,4,0,0
0.77,0,24,0,4,0,0
0.78,0,25,0,4,0,0
0.79,0,25,0,4,0,0
0.8,0,25,0,4,0,0
0.81,0,25,0,4,0,0
0.82,0,25,0,4,0,0
0.83,0,25,0,4,0,0
0.84,0,26,0,4,0,0
0.85,0,26,0,4,0,0
0.86,0,27,0,4,0,0
0.87,0,28,0,4,0,0
0.88,0,28,0,4,0,0
0.89,0,28,0,4,0,0
0.9,0,28,0,4,0,0
0.91,0,28,0,4,0,0
0.92,0,28,0,4,0,0
0.93,0,28,0,4,0,0
0.94,0,28,0,4,0,0
0.95,0,28,0,4,0,0
0.96,0,28,0,4,0,0
0.97,0,28,0,4,0,0
0.98,0,28,0,4,0,0
0.99,0,28,0,4,0,0
1.0,0,28,0,4,0,0
1.01,0,28,0,4,0,0
1.02,0,28,0,4,0,0
1.03,0,28,0,4,0,0
1.04,0,28,0,4,0,0
1.05,0,28,0,4,0,0
1.06,0,28,0,4,0,0
1.07,0,28,0,4,0,0
1.08,0,28,0,4,0,0
1.09,0,28,0,4,0,0
1.1,0,28,0,4,0,0
1.11,0,28,0,4,0,0
1.12,0,28,0,4,0,0
1.13,0,28,0,4,0,0
1.14,0,28,0,4,0,0
1.15,0,28,0,4,0,0
1.16,0,28,0,4,0,0
1.17,0,28,0,4,0,0
1.18,0,28,0,4,0,0
1.19,0,28,0,4,0,0
1.2,0,28,0,4,0,0
1.21,0,28,0,4,0,0
1.22,0,28,0,4,0,0
1.23,0,28,0,4,0,0
1.24,0,28,0,4,0,0
1.25,0,28,0,4,0,0
1.26,0,28,0,4,0,0
1.27,0,28,0,4,0,0
1.28,0,28,0,4,0,0
1.29,0,28,0,4,0,0
1.3,0,28,0,4,0,0
1.31,0,28,0,4,0,0
1.32,0,28,0,4,0,0
1.33,0,28,0,4,0,0
1.34,0,28,0,4,0,0
1.35,0,29,0,4,0,0
1.36,0,29,0,4,0,0
1.37,0,29,0,4,0,0
1.38,0,29,0,4,0,0
1.39,0,29,0,4,0,0
1.4,0,29,0,4,0,0
1.41,0,29,0,4,0,0
1.42,0,29,0,4,0,0
1.43,0,29,0,4,0,0
1.44,0,29,0,4,0,0
1.45,0,29,0,4,0,0
1.46,0,29,0,4,0,0
1.47,0,29,0,4,0,0
1.48,0,29,0,4,0,0
1.49,0,29,0,4,0,0
1.5,0,29,0,4,0,0
1.51,0,29,0,4,0,0
1.52,0,29,0,4,0,0
1.53,0,29,0,4,0,0
1.54,0,29,0,4,0,0
1.55,0,29,0,4,0,0
1.56,0,29,0,4,0,0
1.57,0,29,0,4,0,0
1.58,0,29,0,4,0,0
1.59,0,29,0,4,0,0
1.6,0,29,0,4,0,0
1.61,0,29,0,4,0,0
1.62,0,29,0,4,0,0
1.63,0,29,0,4,0,0
1.64,0,29,0,4,0,0
1.65,0,29,0,4,0,0
1.66,0,29,0,4,0,0
1.67,0,30,0,4,0,0
1.68,0,30,0,4,0,0
1.69,0,30,0,4,0,0
1.7,0,30,0,4,0,0
1.71,0,31,0,4,0,0
1.72,0,31,0,4,0,0
1.73,0,31,0,4,0,0
1.74,0,31,0,4,0,0
1.75,0,31,0,4,0,0
1.76,0,31,0,4,0,0
1.77,0,31,0,4,0,0
1.78,0,31,0,4,0,0
1.79,0,31,0,4,0,0
1.8,0,32,0,5,0,0
1.81,0,32,0,5,0,0
1.82,0,32,0,5,0,0
1.83,0,33,0,5,0,0
1.84,0,34,0,5,0,0
1.85,0,35,0,5,0,0
1.86,0,35,0,5,0,0
1.87,0,36,0,5,0,0
1.88,0,36,0,5,0,0
1.89,0,36,0,5,0,0
1.9,0,37,0,6,0,0
1.91,0,37,0,6,0,0
1.92,0,37,0,6,0,0
1.93,0,37,0,6,0,0
1.94,0,38,0,6,0,0
1.95,0,39,0,6,0,0
1.96,0,39,0,6,0,0
1.97,0,39,0,6,0,0
1.98,0,40,0,6,0,0
1.99,0,41,0,6,0,0
2.0,0,41,0,6,0,0
2.01,0,42,0,6,0,0
2.02,0,42,0,6,0,0
2.03,0,42,0,6,0,0
2.04,0,42,0,6,0,0
2.05,0,43,0,6,0,0
2.06,0,44,0,6,0,0
2.07,0,44,0,6,0,0
2.08,0,45,0,6,0,0
2.09,0,45,0,7,0,0
2.1,0,45,0,7,0,0
2.11,0,45,0,7,0,0
2.12,0,45,0,7,0,0
2.13,0,46,0,7,0,0
2.14,0,46,0,7,0,0
2.15,0,46,0,7,0,0
2.16,0,47,0,8,0,0
2.17,0,48,0,9,0,0
2.18,0,48,0,9,0,0
2.19,0,48,0,9,0,0
2.2,0,48,0,9,0,0
2.21,0,48,0,9,0,0
2.22,0,48,0,9,0,0
2.23,0,48,0,9,0,0
2.24,0,48,0,9,0,0
2.25,0,48,0,9,0,0
2.26,0,48,0,9,0,0
2.27,0,48,0,9,0,0
2.28,0,48,0,9,0,0
2.29,0,48,0,9,0,0
2.3,0,48,0,9,0,0
2.31,0,48,0,9,0,0
2.32,0,48,0,9,0,0
2.33,0,48,0,9,0,0
2.34,0,48,0,9,0,0
2.35,0,48,0,9,0,0
2.36,0,48,0,9,0,0
2.37,0,48,0,9,0,0
2.38,0,48,0,9,0,0
2.39,0,48,0,9,0,0
2.4,0,48,0,9,0,0
2.41,0,48,0,9,0,0
2.42,0,48,0,9,0,0
2.43,0,48,0,9,0,0
2.44,0,48,0,9,0,0
2.45,0,48,0,9,0,0
2.46,0,48,0,9,0,0
2.47,0,48,0,9,0,0
2.48,0,48,0,9,0,0
2.49,0,48,0,9,0,0
2.5,0,48,0,9,0,0
2.51,0,48,0,9,0,0
2.52,0,48,0,9,0,0
2.53,0,48,0,9,0,0
2.54,0,48,0,9,0,0
2.55,0,48,0,9,0,0
2.56,0,49,0,9,0,0
2.57,0,49,0,9,0,0
2.58,0,49,0,9,0,0
2.59,0,50,0,9,0,0
2.6,0,51,0,9,0,0
2.61,0,51,0,9,0,0
2.62,0,51,0,9,0,0
2.63,0,51,0,9,0,0
2.64,0,51,0,9,0,0
2.65,0,51,0,9,0,0
2.66,0,51,0,9,0,0
2.67,0,52,0,9,0,0
2.68,0,52,0,9,0,0
2.69,0,52,0,9,0,0
2.7,0,52,0,9,0,0
2.71,0,52,0,9,0,0
2.72,0,52,0,9,0,0
2.73,0,52,0,9,0,0
2.74,0,52,0,9,0,0
2.75,0,52,0,9,0,0
2.76,0,52,0,9,0,0
2.77,0,52,0,9,0,1
2.78,0,52,0,9,0,1
2.79,0,52,0,9,0,1
2.8,0,52,0,9,0,1
2.81,0,52,0,9,0,1
2.82,0,52,0,9,0,1
2.83,0,52,0,9,0,1
2.84,0,52,0,9,0,1
2.85,0,53,0,9,0,1
2.86,0,53,0,9,0,1
2.87,0,53,0,9,0,1
2.88,0,53,0,9,0,1
2.89,0,53,0,9,0,1
2.9,0,53,0,9,0,1
2.91,0,53,0,9,0,1
2.92,0,53,0,9,0,1
2.93,0,53,0,9,0,1
2.94,0,53,0,9,0,1
2.95,0,53,0,9,0,1
2.96,0,53,0,9,0,1
2.97,0,53,0,9,0,1
2.98,0,53,0,9,0,1
2.99,0,53,0,9,0,1
3.0,0,53,0,9,0,1
3.01,0,53,0,9,0,1
3.02,0,53,0,9,0,1
3.03,0,53,0,9,0,1
3.04,0,53,0,9,0,1
3.05,0,53,0,9,0,1
3.06,0,53,0,9,0,1
3.07,0,53,0,9,0,1
3.08,0,53,0,9,0,1
3.09,0,53,0,9,0,1
3.1,0,53,0,9,0,1
3.11,0,53,0,9,0,1
3.12,0,54,0,9,0,1
3.13,0,54,0,9,0,1
3.14,0,55,0,9,0,1
3.15,0,55,0,9,0,1
3.16,0,55,0,9,0,1
3.17,0,55,0,9,0,1
3.18,0,55,0,9,0,1
3.19,0,55,0,9,0,1
3.2,0,55,0,9,0,1
3.21,0,55,0,9,0,1
3.22,0,56,0,9,0,1
3.23,0,56,0,9,0,2
3.24,0,56,0,9,0,2
3.25,0,57,0,9,0,2
3.26,0,58,0,9,0,2
3.27,0,58,0,9,0,2
3.28,0,58,0,9,0,2
3.29,0,58,0,9,0,2
3.3,0,58,0,9,0,2
3.31,0,58,0,9,0,2
3.32,0,58,0,9,0,2
3.33,0,58,0,9,0,2
3.34,0,58,0,9,0,2
3.35,0,58,0,9,0,2
3.36,0,58,0,9,0,2
3.37,0,58,0,9,0,2
3.38,0,58,0,9,0,2
3.39,0,59,0,9,0,2
3.4,0,59,0,9,0,2
3.41,0,59,0,9,0,2
3.42,0,59,0,9,0,2
3.43,0,59,0,9,0,2
3.44,0,59,0,9,0,2
3.45,0,59,0,9,0,2
3.46,0,59,0,9,0,2
3.47,0,59,0,9,0,2
3.48,0,59,0,9,0,2
3.49,0,60,0,9,0,3
3.5,0,60,0,9,0,3
